language,dsp,bench_case,mode,precision,opt,samp_rate,buff_size,inputs,outputs,warmup_iters,run_iters,batches,elapsed_s,ns_per_compute,fast_ns_per_compute,slow_ns_per_compute,spread_ns_per_compute,spread_percent,ns_per_frame,ns_per_out_samp,frames_per_s,fast_frames_per_s,slow_frames_per_s,out_samp_per_s,fast_out_samp_per_s,slow_out_samp_per_s,checksum
mojo,bells,run,vec,double,O3,48000,128,0,1,50,131050,1000,1.8615330000006907,14204.753910726366,13841.903300029326,14592.313488898693,750.4101888693676,5.282810202735819,110.97463992754973,110.97463992754973,9011067.759740911,9247283.211386748,8771741.37585365,9011067.759740911,9247283.211386748,8771741.37585365,0.0
cpp,carre_volterra,run,scalar,double,O3,48000,128,0,1,50,163666,193,0.100916541,616.60052179438617,607.54410226612436,620.23077815145541,12.686675885331056,2.0575194857784438,4.8171915765186419,4.8171915765186419,207589834.05901715,210684293.57237309,206374795.49385312,207589834.05901715,210684293.57237309,206374795.49385312,9.4982155347242951
cpp,carre_volterra,run,vec,double,O3,48000,128,0,1,50,98178,197,0.104390331,1063.2762024078713,1048.5056861258529,1075.0758581452683,26.570172019415395,2.4988965199489259,8.3068453313114947,8.3068453313114947,120382643.48448133,122078498.66122335,119061365.79127252,120382643.48448133,122078498.66122335,119061365.79127252,-2.6376740452833474
mojo,carre_volterra,run,scalar,double,O3,48000,128,0,1,50,99979,202,0.10517299999992247,1051.9509096902593,1046.3357890466498,1056.4784051662439,10.142616119594095,0.9641719994881252,8.218366481955151,8.218366481955151,121678681.79104365,122331665.74243334,121157232.72153239,121678681.79104365,122331665.74243334,121157232.72153239,-2.6376740452833474
mojo,carre_volterra,run,vec,double,O3,48000,128,0,1,50,90430,146,0.07962700000007317,880.5374322688615,658.8639712200612,1041.4278696346325,382.5638984145713,43.44663661019241,6.87919868960048,6.87919868960048,145365767.8926666,194273788.81102586,122908176.10335957,145365767.8926666,194273788.81102586,122908176.10335957,-0.3088719343650155
cpp,comb_delay1,run,scalar,double,O3,48000,128,0,1,50,190550,200,0.10488283299999998,550.42158488585676,536.9570095417846,553.4415189342285,16.484509392443897,2.9948878904998537,4.3001686319207559,4.3001686319207559,232549019.72375217,238380350.2429916,231280082.2144528,232549019.72375217,238380350.2429916,231280082.2144528,9.9904349523494602
cpp,comb_delay1,run,vec,double,O3,48000,128,0,1,50,200000,201,0.10257020800000001,512.85104000000001,511.6875,514.48329999999999,2.7957999999999856,0.54514854839720817,4.0066487500000001,4.0066487500000001,249585142.6956256,250152681.07976058,248793303.8837218,249585142.6956256,250152681.07976058,248793303.8837218,-8.5150107578374445
mojo,comb_delay1,run,scalar,double,O3,48000,128,0,1,50,113126,193,0.09545699999989665,843.811325423834,842.4760945858447,845.3539080859023,2.8778135000575276,0.3410494044521202,6.592275979873703,6.592275979873703,151692678.3789107,151933094.38996473,151415873.0156282,151692678.3789107,151933094.38996473,151415873.0156282,9.99043495234946
mojo,comb_delay1,run,vec,double,O3,48000,128,0,1,50,188050,204,0.10033999999950538,533.5814942808049,532.7162464310195,535.7104842908074,2.9942378597878587,0.5611584906676127,4.168605424068788,4.168605424068788,239888379.51084965,240278010.7750562,238935028.81402624,239888379.51084965,240278010.7750562,238935028.81402624,-19.35806925408542
cpp,comb_delay2,run,scalar,double,O3,48000,128,0,1,50,300000,303,0.10134104000000001,337.80346666666668,336.66669999999999,339.34589999999997,2.6791999999999803,0.79312389136720318,2.6390895833333334,2.6390895833333334,378918550.66812021,380197982.15861565,377196247.25096136,378918550.66812021,380197982.15861565,377196247.25096136,16.366257764129841
